,Name of user,Competition Name,Label,Ranking
248,131,Project Innovation Contest,0,0.33881104537148826
249,131,Dream Build Play 2017 Challenge,0,0.11107873792641106
250,131,Photography Competition 2017,0,0.3061763561565236
251,131,Asia Young Designer Award Contest,0,0.2598069756982189
252,131,GYTI Innovation Awards,0,0.0
253,131,Haryana Vigyan / Yuva Vigyan Ratna Awards 2017-18,0,0.43227978047482957
254,131,Dr. A P J Abdul Kalam National Legal Essay Competition 2017,0,0.47929775903679345
255,131,1st Justice P N Bhagwati Research Paper Writing Competition 2017,0,0.23912658890543873
256,131,Best International Future Lawyer Award 2017,0,0.0
257,131,Archasm Architecture Competition 2017,0,-0.14825908845241265
258,131,4th National Essay Writing Competition 2018,1,0.5156040826525903
259,131,India?s Storytellers/ Script Contest 2017-2018,0,0.1934271353926868
260,131,Third National Essay Competition on Water 2017-18,0,0.14996895918970846
261,131,Soul of Bengaluru Photo Contest 2017,0,0.29992278545779205
262,131,1st International Article Writing Competition 2017,0,0.46739937102325885
263,131,"Combating Corruption, Battling Black Money Competition 2017",0,0.24202953381999914
264,131,Solar Chulha Innovation Challenge 2017,0,0.20582639708493267
265,162,KTH Master's Challenge (Full Scholarship + Monthly Stipend),0,0.0
266,162,Marksman Call For Articles- November 2017,0,0.10163326378492911
267,162,Convergence 2017,0,0.10163326378492911
268,162,Prarambh 2018,0,0.0
269,162,Click India Photography Competition - Shot 3,0,0.3192591377536097
270,162,NEC IIT Bombay Presents The Entrepreneurship Quiz Challenge,0,0.0
271,162,Battleground 8.0,0,0.14116231480212652
272,162,ShopFloor,0,0.0
273,162,CrackItUp,0,0.0
274,162,NEC IIT Bombay Presents CodeSprint,0,0.0
275,162,Kamaal Dhamaal Bemisaal,0,0.0
276,162,Brainy Awards,0,0.0
277,162,Inquizito - Tickle Your Grey Cells,0,0.0
278,162,Finathon - Time To Trade!,0,0.0
279,162,Yalgaar - Time For Halla Bol!,0,0.0
280,162,IntellOps- Article Writing Competition By OpCellence,0,0.0
281,162,BIOCON PRESENTS SHOT OF LIFE,0,0.0
282,162,NEC IIT Bombay Presents Empresario,0,0.0
283,162,Rural Le Carte,0,0.0
284,162,The Fast Pay Story,0,0.0
285,162,"FINAcumen, IIM Nagpur",0,0.0
286,162,NEC IIT Bombay Presents Hashtrix,0,0.0
287,162,NEC IIT Bomaby Presents HackStack,0,0.0
288,162,Asia Pacific International Conference,0,0.0
289,162,Interview Question Of Year 2017,0,0.0
290,162,The Great Analytics Quiz,0,0.0
291,162,"Paper Presentation On ""  Effect Of App Based Learning In School Education (K-12)""",0,0.0
292,162,KDP Pen To Publish Contest,0,0.1213183595808259
293,162,Banjara International Film Festival 2017,0,0.10625588595567814
294,162,Spanish Guitar Competition 2017,0,0.13194723290046734
295,162,SSGK Maestro Olympiad,0,0.06775550918995274
296,162,Global Business Model Competition 2017,0,0.12370647393077845
297,162,National Geography Olympiad 2017,0,0.37749140366441747
298,162,NATS Talent Search,1,0.7896944007090637
299,162,JIFF ISC Script Contest,0,0.0
300,162,Maay Marathi Film Competition 2017,0,-0.03904219637095102
